    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
      57           0.3     0.0608   5.461E-03   0.0001   0.4000   5.470E-14   2.98758167E-14   1.23281962E-11
      58      0.305461     0.1116   5.461E-03   0.0001   0.4000   1.772E-13   3.07346492E-14   1.25497418E-11
      59      0.310922     0.0617   5.461E-03   0.0001   0.4000   1.791E-13   3.16178820E-14   1.27712881E-11
      60      0.316383     0.0615   5.461E-03   0.0001   0.4000   1.801E-13   3.24919322E-14   1.29928423E-11
      61      0.321844     0.0618   5.461E-03   0.0001   0.4000   1.819E-13   3.33547095E-14   1.32144117E-11
      62      0.327305     0.0635   5.461E-03   0.0001   0.4000   1.822E-13   3.42058556E-14   1.34360039E-11
      63      0.332766     0.0615   5.461E-03   0.0001   0.4000   1.865E-13   3.50439240E-14   1.36576266E-11
      64      0.338227     0.0614   5.461E-03   0.0001   0.4000   1.871E-13   3.58694071E-14   1.38792878E-11
      65      0.343689     0.0620   5.461E-03   0.0001   0.4000   1.920E-13   3.66800097E-14   1.41009953E-11
      66       0.34915     0.0613   5.461E-03   0.0001   0.4000   1.904E-13   3.74763293E-14   1.43227576E-11
      67      0.354611     0.0613   5.461E-03   0.0001   0.4000   1.931E-13   3.82565109E-14   1.45445832E-11
      68      0.360072     0.0616   5.461E-03   0.0001   0.4000   1.961E-13   3.90193314E-14   1.47664806E-11
      69      0.365533     0.0609   5.461E-03   0.0001   0.4000   1.963E-13   3.97652237E-14   1.49884590E-11
      70      0.370994     0.0610   5.461E-03   0.0001   0.4000   1.981E-13   4.04934760E-14   1.52105277E-11
      71      0.376455     0.0647   5.461E-03   0.0001   0.4000   1.970E-13   4.12019728E-14   1.54326960E-11
      72      0.381916     0.0623   5.461E-03   0.0001   0.4000   1.997E-13   4.18910607E-14   1.56549740E-11
      73      0.387377     0.0608   5.461E-03   0.0001   0.4000   2.037E-13   4.25581493E-14   1.58773717E-11
      74      0.392838     0.0611   5.461E-03   0.0001   0.4000   2.017E-13   4.32063994E-14   1.60998996E-11
      75      0.398299     0.0609   1.701E-03   0.0000   0.1246   2.068E-13   4.38297460E-14   1.63225685E-11
      76           0.4     0.0616   5.461E-03   0.0001   0.4000   6.365E-14   4.40596896E-14   1.63919471E-11
      77      0.405461     0.1125   5.461E-03   0.0001   0.4000   2.083E-13   4.46149833E-14   1.66148181E-11
      78      0.410922     0.0614   5.461E-03   0.0001   0.4000   2.053E-13   4.51873581E-14   1.68378566E-11
      79      0.416383     0.0612   5.461E-03   0.0001   0.4000   2.104E-13   4.57331792E-14   1.70610747E-11
      80      0.421844     0.0615   5.461E-03   0.0001   0.4000   2.104E-13   4.62555058E-14   1.72844850E-11
      81      0.427305     0.0614   5.461E-03   0.0002   0.4000   2.111E-13   4.67520923E-14   1.75081004E-11
      82      0.432766     0.0615   5.461E-03   0.0002   0.4000   2.133E-13   4.72205772E-14   1.77319342E-11
      83      0.438227     0.0617   5.461E-03   0.0002   0.4000   2.158E-13   4.76629068E-14   1.79560004E-11
      84      0.443689     0.0616   5.461E-03   0.0002   0.4000   2.148E-13   4.80786582E-14   1.81803134E-11
      85       0.44915     0.0611   5.461E-03   0.0002   0.4000   2.178E-13   4.84645242E-14   1.84048880E-11
      86      0.454611     0.0614   5.461E-03   0.0002   0.4000   2.187E-13   4.88221665E-14   1.86297396E-11
      87      0.460072     0.0612   5.461E-03   0.0002   0.4000   2.218E-13   4.91491284E-14   1.88548842E-11
      88      0.465533     0.0612   5.461E-03   0.0002   0.4000   2.246E-13   4.94449689E-14   1.90803384E-11
      89      0.470994     0.0612   5.461E-03   0.0002   0.4000   2.257E-13   4.97100405E-14   1.93061192E-11
      90      0.476455     0.0611   5.461E-03   0.0002   0.4000   2.275E-13   4.99436396E-14   1.95322444E-11
      91      0.481916     0.0617   5.461E-03   0.0002   0.4000   2.253E-13   5.01454817E-14   1.97587325E-11
      92      0.487377     0.0615   5.461E-03   0.0002   0.4000   2.276E-13   5.03127444E-14   1.99856025E-11
      93      0.492838     0.0613   5.461E-03   0.0002   0.4000   2.288E-13   5.04478859E-14   2.02128742E-11
      94      0.498299     0.0624   1.701E-03   0.0001   0.1246   2.303E-13   5.05465008E-14   2.04405680E-11
      95           0.5     0.0622   5.461E-03   0.0002   0.4000   7.269E-14   5.06148145E-14   2.05115704E-11
      96      0.505461     0.1118   5.461E-03   0.0002   0.4000   2.325E-13   5.06224317E-14   2.07398502E-11
      97      0.510922     0.0618   5.461E-03   0.0002   0.4000   2.359E-13   5.06396729E-14   2.09686023E-11
      98      0.516383     0.0612   5.461E-03   0.0002   0.4000   2.375E-13   5.06192962E-14   2.11978500E-11
      99      0.521844     0.0616   5.461E-03   0.0002   0.4000   2.397E-13   5.05601976E-14   2.14276171E-11
     100      0.527305     0.0613   5.461E-03   0.0002   0.4000   2.387E-13   5.04651899E-14   2.16579285E-11
     101      0.532766     0.0612   5.461E-03   0.0002   0.4000   2.403E-13   5.03298146E-14   2.18888098E-11
     102      0.538227     0.0612   5.461E-03   0.0002   0.4000   2.387E-13   5.01563289E-14   2.21202878E-11
     103      0.543689     0.0614   5.461E-03   0.0002   0.4000   2.412E-13   4.99403006E-14   2.23523901E-11
     104       0.54915     0.0611   5.461E-03   0.0002   0.4000   2.415E-13   4.96832311E-14   2.25851455E-11
     105      0.554611     0.0613   5.461E-03   0.0002   0.4000   2.440E-13   4.93841196E-14   2.28185837E-11
     106      0.560072     0.0611   5.461E-03   0.0002   0.4000   2.463E-13   4.90429953E-14   2.30527357E-11
     107      0.565533     0.0621   5.461E-03   0.0002   0.4000   2.490E-13   4.86577868E-14   2.32876334E-11
     108      0.570994     0.0618   5.461E-03   0.0002   0.4000   2.490E-13   4.82296519E-14   2.35233101E-11
     109      0.576455     0.0613   5.461E-03   0.0002   0.4000   2.495E-13   4.77558772E-14   2.37598004E-11
     110      0.581916     0.0614   5.461E-03   0.0002   0.4000   2.478E-13   4.72370807E-14   2.39971399E-11
     111      0.587377     0.0616   5.461E-03   0.0002   0.4000   2.543E-13   4.66695353E-14   2.42353659E-11
     112      0.592838     0.0614   5.461E-03   0.0002   0.4000   2.577E-13   4.60559452E-14   2.44745168E-11
     113      0.598299     0.0619   1.701E-03   0.0001   0.1246   2.542E-13   4.53960765E-14   2.47146328E-11
     114           0.6     0.0617   5.461E-03   0.0002   0.4000   8.158E-14   4.52288190E-14   2.47896180E-11
     115      0.605461     0.1130   5.461E-03   0.0002   0.4000   2.582E-13   4.44547618E-14   2.50310626E-11
     116      0.610922     0.0617   5.461E-03   0.0002   0.4000   2.579E-13   4.36782778E-14   2.52735706E-11
     117      0.616383     0.0614   5.461E-03   0.0002   0.4000   2.610E-13   4.28512859E-14   2.55171873E-11
     118      0.621844     0.0618   5.461E-03   0.0002   0.4000   2.605E-13   4.19733623E-14   2.57619595E-11
     119      0.627305     0.0617   5.461E-03   0.0002   0.4000   2.629E-13   4.10425521E-14   2.60079361E-11
     120      0.632766     0.0616   5.461E-03   0.0002   0.4000   2.599E-13   4.00587956E-14   2.62551677E-11
     121      0.638227     0.0619   5.461E-03   0.0002   0.4000   2.645E-13   3.90200788E-14   2.65037070E-11
     122      0.643689     0.0618   5.461E-03   0.0002   0.4000   2.652E-13   3.79266907E-14   2.67536085E-11
     123       0.64915     0.0617   5.461E-03   0.0002   0.4000   2.682E-13   3.67772073E-14   2.70049290E-11
     124      0.654611     0.0614   5.461E-03   0.0002   0.4000   2.676E-13   3.55702907E-14   2.72577274E-11
     125      0.660072     0.0615   5.461E-03   0.0002   0.4000   2.677E-13   3.43064251E-14   2.75120648E-11
     126      0.665533     0.0637   5.461E-03   0.0002   0.4000   2.707E-13   3.29823285E-14   2.77680049E-11
     127      0.670994     0.0625   5.461E-03   0.0002   0.4000   2.734E-13   3.15993932E-14   2.80256135E-11
     128      0.676455     0.0613   5.461E-03   0.0002   0.4000   2.758E-13   3.01553083E-14   2.82849594E-11
     129      0.681916     0.0614   5.461E-03   0.0002   0.4000   2.751E-13   2.86497737E-14   2.85461137E-11
     130      0.687377     0.0616   5.461E-03   0.0002   0.4000   2.755E-13   2.70813862E-14   2.88091506E-11
     131      0.692838     0.0612   5.461E-03   0.0002   0.4000   2.772E-13   2.54488168E-14   2.90741468E-11
     132      0.698299     0.0614   1.701E-03   0.0001   0.1246   2.786E-13   2.37513575E-14   2.93411824E-11
     133           0.7     0.0613   5.461E-03   0.0002   0.4000   8.711E-14   2.32647552E-14   2.94247773E-11
     134      0.705461     0.1145   5.461E-03   0.0002   0.4000   2.808E-13   2.14258952E-14   2.96946138E-11
     135      0.710922     0.0617   5.461E-03   0.0002   0.4000   2.802E-13   1.95748152E-14   2.99666865E-11
     136      0.716383     0.0617   5.461E-03   0.0002   0.4000   2.815E-13   1.76546668E-14   3.02410862E-11
     137      0.721844     0.0616   5.461E-03   0.0002   0.4000   2.818E-13   1.56662428E-14   3.05179075E-11
     138      0.727305     0.0628   5.461E-03   0.0002   0.4000   2.849E-13   1.36054485E-14   3.07972483E-11
     139      0.732766     0.0630   5.461E-03   0.0002   0.4000   2.865E-13   1.14733018E-14   3.10792106E-11
     140      0.738227     0.0622   5.461E-03   0.0002   0.4000   2.854E-13   9.26852063E-15   3.13639004E-11
     141      0.743689     0.0618   5.461E-03   0.0002   0.4000   2.876E-13   6.99031084E-15   3.16514279E-11
     142       0.74915     0.0618   5.461E-03   0.0002   0.4000   2.892E-13   4.63463369E-15   3.19419078E-11
     143      0.754611     0.0615   5.461E-03   0.0002   0.4000   2.900E-13   2.20284212E-15   3.22354591E-11
     144      0.760072     0.0621   5.461E-03   0.0002   0.4000   2.896E-13  -3.05547959E-16   3.25322057E-11
     145      0.765533     0.0631   5.461E-03   0.0003   0.4000   2.909E-13  -2.89488504E-15   3.28322765E-11
     146      0.770994     0.0632   5.461E-03   0.0003   0.4000   2.961E-13  -5.56438649E-15   3.31358054E-11
     147      0.776455     0.0630   5.461E-03   0.0003   0.4000   2.927E-13  -8.31431577E-15   3.34429316E-11
     148      0.781916     0.0631   5.461E-03   0.0003   0.4000   2.950E-13  -1.11496736E-14   3.37538002E-11
     149      0.787377     0.0629   5.461E-03   0.0003   0.4000   2.948E-13  -1.40690690E-14   3.40685617E-11
     150      0.792838     0.0621   5.461E-03   0.0003   0.4000   2.971E-13  -1.70747718E-14   3.43873729E-11
     151      0.798299     0.0615   1.701E-03   0.0001   0.1246   2.987E-13  -2.01670796E-14   3.47103969E-11
     152           0.8     0.0615   5.461E-03   0.0003   0.4000   9.291E-14  -2.10896473E-14   3.48118863E-11
     153      0.805461     0.1139   5.461E-03   0.0003   0.4000   2.978E-13  -2.43595183E-14   3.51406932E-11
     154      0.810922     0.0622   5.461E-03   0.0003   0.4000   3.012E-13  -2.76609459E-14   3.54741152E-11
     155      0.816383     0.0618   5.461E-03   0.0003   0.4000   3.022E-13  -3.10542816E-14   3.58123383E-11
     156      0.821844     0.0633   5.461E-03   0.0003   0.4000   3.027E-13  -3.45421890E-14   3.61555556E-11
     157      0.827305     0.0637   5.461E-03   0.0003   0.4000   3.054E-13  -3.81267929E-14   3.65039683E-11
     158      0.832766     0.0656   5.461E-03   0.0003   0.4000   3.056E-13  -4.18069192E-14   3.68577857E-11
     159      0.838227     0.0628   5.461E-03   0.0003   0.4000   3.057E-13  -4.55873592E-14   3.72172257E-11
     160      0.843689     0.0624   5.461E-03   0.0003   0.4000   3.103E-13  -4.94705114E-14   3.75825147E-11
     161       0.84915     0.0618   5.461E-03   0.0003   0.4000   3.084E-13  -5.34523811E-14   3.79538886E-11
     162      0.854611     0.0619   5.461E-03   0.0003   0.4000   3.119E-13  -5.75413915E-14   3.83315928E-11
     163      0.860072     0.0634   5.461E-03   0.0003   0.4000   3.114E-13  -6.17352976E-14   3.87158826E-11
     164      0.865533     0.0629   5.461E-03   0.0003   0.4000   3.128E-13  -6.60381937E-14   3.91070240E-11
     165      0.870994     0.0636   5.461E-03   0.0003   0.4000   3.149E-13  -7.04503967E-14   3.95052934E-11
     166      0.876455     0.0634   5.461E-03   0.0004   0.4000   3.182E-13  -7.49753300E-14   3.99109789E-11
     167      0.881916     0.0631   5.461E-03   0.0004   0.4000   3.141E-13  -7.96126067E-14   4.03243802E-11
     168      0.887377     0.0635   5.461E-03   0.0004   0.4000   3.165E-13  -8.43661304E-14   4.07458091E-11
     169      0.892838     0.0630   5.461E-03   0.0004   0.4000   3.157E-13  -8.92384400E-14   4.11755906E-11
     170      0.898299     0.0621   1.701E-03   0.0001   0.1246   3.189E-13  -9.42302344E-14   4.16140626E-11
     171           0.9     0.0617   5.461E-03   0.0004   0.4000   9.945E-14  -9.57465999E-14   4.17524501E-11
     172      0.905461     0.1143   5.461E-03   0.0004   0.4000   3.219E-13  -1.00964091E-13   4.22028550E-11
     173      0.910922     0.0621   5.461E-03   0.0004   0.4000   3.223E-13  -1.06242113E-13   4.26627859E-11
     174      0.916383     0.0628   5.461E-03   0.0004   0.4000   3.249E-13  -1.11647905E-13   4.31326292E-11
     175      0.921844     0.0635   5.461E-03   0.0004   0.4000   3.242E-13  -1.17182505E-13   4.36127870E-11
     176      0.927305     0.0625   5.461E-03   0.0004   0.4000   3.244E-13  -1.22849250E-13   4.41036781E-11
     177      0.932766     0.0621   5.461E-03   0.0004   0.4000   3.257E-13  -1.28652361E-13   4.46057386E-11
     178      0.938227     0.0619   5.461E-03   0.0004   0.4000   3.286E-13  -1.34589358E-13   4.51194225E-11
     179      0.943689     0.0624   5.461E-03   0.0004   0.4000   3.279E-13  -1.40668670E-13   4.56452025E-11
     180       0.94915     0.0619   5.461E-03   0.0004   0.4000   3.257E-13  -1.46888703E-13   4.61835711E-11
     181      0.954611     0.0619   5.461E-03   0.0005   0.4000   3.292E-13  -1.53254757E-13   4.67350409E-11
     182      0.960072     0.0620   5.461E-03   0.0005   0.4000   3.308E-13  -1.59767195E-13   4.73001458E-11
     183      0.965533     0.0617   5.461E-03   0.0005   0.4000   3.331E-13  -1.66430355E-13   4.78794420E-11
     184      0.970994     0.0630   5.461E-03   0.0005   0.4000   3.356E-13  -1.73246386E-13   4.84735087E-11
     185      0.976455     0.0625   5.461E-03   0.0005   0.4000   3.341E-13  -1.80218245E-13   4.90829489E-11
     186      0.981916     0.0625   5.461E-03   0.0005   0.4000   3.343E-13  -1.87348902E-13   4.97083911E-11
