    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
     640       123.091    13.3910   1.932E-01   0.2237   0.4000   8.810E-16   2.82000079E-02   6.13581208E-04
     660       126.955    12.3289   1.932E-01   0.2237   0.4000   9.062E-16   2.82000079E-02   6.13038024E-04
     680       130.819    12.5433   1.932E-01   0.2236   0.4000   9.359E-16   2.82000079E-02   6.12501499E-04
     700       134.683    12.5099   1.932E-01   0.2236   0.4000   9.689E-16   2.82000080E-02   6.11971187E-04
     720       138.546    12.4917   1.932E-01   0.2236   0.4000   8.886E-16   2.82000080E-02   6.11446670E-04
     740        142.41    12.4472   1.932E-01   0.2235   0.4000   9.126E-16   2.82000080E-02   6.10927555E-04
     760       146.274    12.5364   1.932E-01   0.2234   0.4000   9.433E-16   2.82000080E-02   6.10413472E-04
     780           150    12.6134   1.932E-01   0.2234   0.4000   6.544E-16   2.82000080E-02   6.09922181E-04
     800       153.864    12.5870   1.932E-01   0.2234   0.4000   8.938E-16   2.82000080E-02   6.09416987E-04
     820       157.728    12.4719   1.932E-01   0.2233   0.4000   8.875E-16   2.82000080E-02   6.08915848E-04
     840       161.592    12.4437   1.932E-01   0.2232   0.4000   8.843E-16   2.82000080E-02   6.08418467E-04
     860       165.455    12.4867   1.932E-01   0.2232   0.4000   8.999E-16   2.82000080E-02   6.07924563E-04
     880       169.319    12.4169   1.932E-01   0.2232   0.4000   8.765E-16   2.82000080E-02   6.07433869E-04
     900       173.183    12.5044   1.932E-01   0.2231   0.4000   8.990E-16   2.82000080E-02   6.06946130E-04
     920       177.047    12.6134   1.932E-01   0.2230   0.4000   9.671E-16   2.82000080E-02   6.06461104E-04
     940       180.773    13.5347   1.932E-01   0.2230   0.4000   8.916E-16   2.82000080E-02   6.05995744E-04
     960       184.637    12.6397   1.932E-01   0.2230   0.4000   9.185E-16   2.82000080E-02   6.05515382E-04
     980         188.5    13.2086   1.932E-01   0.2229   0.4000   8.960E-16   2.82000080E-02   6.05037075E-04
    1000       192.364    12.9260   1.932E-01   0.2228   0.4000   9.090E-16   2.82000081E-02   6.04560621E-04
    1020       196.228    12.5349   1.932E-01   0.2228   0.4000   9.078E-16   2.82000081E-02   6.04085823E-04
    1040       200.092    12.7109   1.932E-01   0.2228   0.4000   8.666E-16   2.82000081E-02   6.03612496E-04
    1060       203.956    12.6871   1.932E-01   0.2227   0.4000   9.151E-16   2.82000081E-02   6.03140459E-04
    1080        207.82    13.1638   1.932E-01   0.2226   0.4000   8.560E-16   2.82000081E-02   6.02669542E-04
    1100       211.546    13.5675   1.932E-01   0.2226   0.4000   9.177E-16   2.82000081E-02   6.02216339E-04
    1120       215.409    12.7294   1.932E-01   0.2225   0.4000   9.354E-16   2.82000081E-02   6.01747142E-04
    1140       219.273    12.8194   1.932E-01   0.2224   0.4000   8.537E-16   2.82000081E-02   6.01278590E-04
    1160       223.137    12.7351   1.932E-01   0.2224   0.4000   9.671E-16   2.82000081E-02   6.00810536E-04
    1180       227.001    12.6893   1.932E-01   0.2223   0.4000   9.094E-16   2.82000081E-02   6.00342836E-04
    1200       230.865    12.6521   1.932E-01   0.2222   0.4000   9.116E-16   2.82000081E-02   5.99875355E-04
    1220       234.729    12.5757   1.932E-01   0.2222   0.4000   9.337E-16   2.82000081E-02   5.99407959E-04
    1240       238.592    12.6449   1.932E-01   0.2221   0.4000   8.799E-16   2.82000081E-02   5.98940520E-04
    1260       242.318    13.6235   1.932E-01   0.2220   0.4000   8.896E-16   2.82000082E-02   5.98489613E-04
    1280       246.182    12.5564   1.932E-01   0.2220   0.4000   9.398E-16   2.82000082E-02   5.98021738E-04
    1300       250.046    12.5746   1.932E-01   0.2219   0.4000   8.642E-16   2.82000082E-02   5.97553468E-04
    1320        253.91    12.7329   1.932E-01   0.2218   0.4000   8.626E-16   2.82000082E-02   5.97084695E-04
    1340       257.774    12.6031   1.932E-01   0.2217   0.4000   8.921E-16   2.82000082E-02   5.96615310E-04
    1360       261.637    12.6489   1.932E-01   0.2216   0.4000   9.875E-16   2.82000082E-02   5.96145212E-04
    1380       265.501    12.6068   1.932E-01   0.2215   0.4000   1.003E-15   2.82000082E-02   5.95674301E-04
    1400       269.365    12.7204   1.932E-01   0.2214   0.4000   9.073E-16   2.82000082E-02   5.95202483E-04
    1420       273.091    13.0919   1.932E-01   0.2213   0.4000   9.354E-16   2.82000082E-02   5.94746561E-04
    1440       276.955    12.5562   1.932E-01   0.2212   0.4000   1.011E-15   2.82000082E-02   5.94272696E-04
    1460       280.819    14.5384   1.932E-01   0.2212   0.4000   9.198E-16   2.82000082E-02   5.93797660E-04
    1480       284.683    16.5665   1.932E-01   0.2211   0.4000   8.204E-16   2.82000082E-02   5.93321373E-04
    1500       288.546    12.7062   1.932E-01   0.2210   0.4000   8.303E-16   2.82000082E-02   5.92843755E-04
    1520        292.41    12.8777   1.932E-01   0.2209   0.4000   7.780E-16   2.82000082E-02   5.92364730E-04
    1540       296.274    14.7602   1.932E-01   0.2208   0.4000   7.242E-16   2.82000082E-02   5.91884226E-04
    1560           300    13.0419   1.932E-01   0.2207   0.4000   6.869E-16   2.82000082E-02   5.91419408E-04
    1580       303.864    13.7983   1.932E-01   0.2206   0.4000   7.350E-16   2.82000082E-02   5.90935798E-04
    1600       307.728    12.6889   1.932E-01   0.2205   0.4000   7.282E-16   2.82000083E-02   5.90450510E-04
    1620       311.592    13.2500   1.932E-01   0.2203   0.4000   7.275E-16   2.82000083E-02   5.89963483E-04
